MaTin,ThanhPho,QuanHuyen,PhuongXa,DuAn,LoaiHinh,TinhTrang,DienTich_m2,SoPhongNgu,SoWC,HuongBanCong,Tang,NamBanGiao,PhapLy,NoiThat,GiaTyVND,GiaTrieu_m2,PhiQuanLyNghin_m2,ChoDoXe,GanMetro,HoBoi,PhongGym,NoiBat,NgayDangTin,GhiChuNguon
HN0034,Hà Nội,Cầu Giấy,Nghĩa Đô,Indochina Plaza,Chung cư,Cho thuê mua,128.5,4,2,Bắc,10,2020,Sổ hồng lâu dài,Cơ bản,10.84,84.3,16.1,Ô tô + xe máy,Không,Không,Có,Tầng trung đẹp,2026-03-25,Dữ liệu tổng hợp mô phỏng
HN0035,Hà Nội,Hoàng Mai,Tân Mai,Gelexia Riverside,Chung cư,Chuyển nhượng,87.1,3,2,Tây Nam,38,2013,Sổ hồng lâu dài,Full nội thất,4.46,51.2,13.2,Ô tô + xe máy,Không,Có,Có,Căn góc,2025-10-31,Dữ liệu tổng hợp mô phỏng
HN0036,Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Indochina Plaza,Chung cư,Đang bán,120.9,3,2,Đông,7,2012,HĐMB,Cơ bản,8.09,66.9,13.2,Ô tô + xe máy,Không,Có,Không,Gần tuyến metro,2025-11-22,Dữ liệu tổng hợp mô phỏng
HN0037,Hà Nội,Tây Hồ,Phú Thượng,D'. El Dorado,Chung cư,Cần bán gấp,55.8,2,2,Tây,17,2022,HĐMB,Full nội thất,7.57,135.7,8.7,Ô tô riêng,Không,Có,Không,Gần trường quốc tế,2025-11-11,Dữ liệu tổng hợp mô phỏng
HN0038,Hà Nội,Thanh Xuân,Thượng Đình,Vinhomes Vista,Chung cư,Chuyển nhượng,75.1,2,2,Tây Bắc,13,2017,HĐMB,Cơ bản,4.75,63.2,21.7,Ô tô + xe máy,Có,Có,Có,Đầy đủ tiện ích,2025-11-29,Dữ liệu tổng hợp mô phỏng
HN0039,Hà Nội,Bắc Từ Liêm,Cổ Nhuế 2,Vinhomes Premier,Chung cư,Đang bán,73.7,2,2,Tây Nam,34,2022,Sổ hồng lâu dài,Nội thất cao cấp,4.25,57.7,16.7,Ô tô + xe máy,Không,Không,Có,Căn góc,2025-11-19,Dữ liệu tổng hợp mô phỏng
HN0040,Hà Nội,Ba Đình,Cống Vị,Grandeur Palace,Chung cư,Chuyển nhượng,58.5,2,2,Đông Bắc,12,2019,Sổ hồng lâu dài,Cơ bản,6.63,113.3,16.5,Ô tô + xe máy,Có,Có,Có,Gần trường quốc tế,2026-03-23,Dữ liệu tổng hợp mô phỏng
HN0041,Hà Nội,Hà Đông,Kiến Hưng,Seasons Avenue,Chung cư,Chuyển nhượng,55.1,2,2,Bắc,22,2025,Sổ hồng lâu dài,Cơ bản,3.21,58.2,14.2,Xe máy,Không,Có,Có,Gần trung tâm thương mại,2025-10-13,Dữ liệu tổng hợp mô phỏng
HN0042,Hà Nội,Tây Hồ,Bưởi,Kosmo Tây Hồ,Chung cư,Cần bán gấp,52.9,1,1,Tây,27,2018,Sổ hồng lâu dài,Nội thất cao cấp,6.01,113.6,14.0,Ô tô + xe máy,Không,Có,Không,View nội khu yên tĩnh,2026-03-04,Dữ liệu tổng hợp mô phỏng
HN0043,Hà Nội,Thanh Xuân,Khương Trung,Royal City,Chung cư,Chuyển nhượng,75.8,2,2,Tây,8,2025,Sổ hồng 50 năm,Cơ bản,5.49,72.5,24.0,Ô tô + xe máy,Không,Có,Có,Căn góc,2026-02-10,Dữ liệu tổng hợp mô phỏng
HN0044,Hà Nội,Long Biên,Việt Hưng,IA20 Vista,Chung cư,Đang bán,75.8,2,2,Bắc,4,2012,Sổ hồng lâu dài,Cơ bản,3.56,46.9,12.4,Ô tô + xe máy,Không,Có,Có,Tầng trung đẹp,2026-01-02,Dữ liệu tổng hợp mô phỏng
HN0045,Hà Nội,Thanh Xuân,Thanh Xuân Trung,The Legend,Chung cư,Cần bán gấp,47.2,1,1,Bắc,19,2019,Đang chờ sổ,Cơ bản,2.64,55.9,10.8,Ô tô + xe máy,Có,Có,Có,Đầy đủ tiện ích,2025-10-15,Dữ liệu tổng hợp mô phỏng
HN0046,Hà Nội,Hà Đông,Phú La,Mulberry Lane,Chung cư,Cần bán gấp,45.6,1,1,Bắc,25,2021,Sổ hồng lâu dài,Full nội thất,1.95,42.7,23.6,Ô tô riêng,Không,Không,Có,Căn góc,2026-02-10,Dữ liệu tổng hợp mô phỏng
HN0047,Hà Nội,Hoàng Mai,Lĩnh Nam,The Zen Residence,Chung cư,Đang bán,77.7,2,2,Đông Nam,11,2022,HĐMB,Full nội thất,4.28,55.2,14.6,Ô tô + xe máy,Không,Có,Có,Gần trung tâm thương mại,2026-03-07,Dữ liệu tổng hợp mô phỏng
HN0048,Hà Nội,Tây Hồ,Phú Thượng,D'. El Dorado,Chung cư,Cần bán gấp,122.5,3,3,Đông Bắc,24,2024,Đang chờ sổ,Cơ bản,11.71,95.6,25.6,Không rõ,Không,Có,Không,View nội khu yên tĩnh,2026-02-01,Dữ liệu tổng hợp mô phỏng
HN0049,Hà Nội,Hai Bà Trưng,Minh Khai,The Matrix Residence,Chung cư,Chuyển nhượng,79.7,2,2,Đông,26,2013,Sổ hồng 50 năm,Cơ bản,6.71,84.2,19.0,Xe máy,Không,Có,Có,Đầy đủ tiện ích,2026-03-11,Dữ liệu tổng hợp mô phỏng
HN0050,Hà Nội,Nam Từ Liêm,Phú Đô,The Matrix One,Chung cư,Chuyển nhượng,42.7,1,1,Tây Bắc,37,2014,Sổ hồng lâu dài,Cơ bản,3.57,83.6,21.1,Ô tô riêng,Không,Không,Có,Căn góc,2026-04-01,Dữ liệu tổng hợp mô phỏng
HN0051,Hà Nội,Bắc Từ Liêm,Cổ Nhuế 2,The Matrix Grand,Chung cư,Đang bán,84.5,3,3,Bắc,37,2026,Sổ hồng lâu dài,Nội thất cao cấp,5.51,65.3,16.2,Xe máy,Không,Có,Có,Ban công rộng,2026-02-06,Dữ liệu tổng hợp mô phỏng
HN0052,Hà Nội,Ba Đình,Vĩnh Phúc,The Nelson,Chung cư,Chuyển nhượng,61.5,2,2,Đông Bắc,17,2017,Sổ hồng lâu dài,Nội thất cao cấp,7.78,126.6,25.8,Ô tô + xe máy,Không,Có,Không,Gần trường quốc tế,2026-04-06,Dữ liệu tổng hợp mô phỏng
HN0053,Hà Nội,Ba Đình,Kim Mã,FLC Tower,Chung cư,Đang bán,52.8,1,1,Tây,36,2013,Sổ hồng lâu dài,Nội thất cao cấp,6.74,127.5,8.8,Ô tô riêng,Không,Có,Có,View nội khu yên tĩnh,2026-03-25,Dữ liệu tổng hợp mô phỏng
HN0054,Hà Nội,Thanh Xuân,Thượng Đình,GoldSeason,Chung cư,Chuyển nhượng,39.6,1,1,Tây Nam,41,2014,Sổ hồng lâu dài,Nội thất cao cấp,2.71,68.4,17.6,Ô tô + xe máy,Không,Có,Có,Gần tuyến metro,2026-02-13,Dữ liệu tổng hợp mô phỏng
HN0055,Hà Nội,Nam Từ Liêm,Phú Đô,HD Mon City,Chung cư,Đang bán,76.9,2,2,Đông Bắc,23,2018,Sổ hồng 50 năm,Cơ bản,5.09,66.2,16.5,Ô tô + xe máy,Có,Có,Có,Ban công rộng,2026-03-07,Dữ liệu tổng hợp mô phỏng
HN0056,Hà Nội,Hai Bà Trưng,Quỳnh Lôi,IA20 Plaza,Chung cư,Đang bán,75.0,2,2,Tây Nam,30,2025,Sổ hồng lâu dài,Cơ bản,6.52,87.0,10.8,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-01-28,Dữ liệu tổng hợp mô phỏng
HN0057,Hà Nội,Tây Hồ,Quảng An,Kosmo Tây Hồ,Chung cư,Đang bán,74.7,2,2,Tây Nam,20,2012,Sổ hồng lâu dài,Full nội thất,7.5,100.3,23.7,Xe máy,Không,Có,Có,View nội khu yên tĩnh,2026-03-17,Dữ liệu tổng hợp mô phỏng
HN0058,Hà Nội,Bắc Từ Liêm,Xuân Đỉnh,Masteri Park,Chung cư,Đang bán,44.2,1,1,Tây Nam,23,2024,HĐMB,Full nội thất,3.28,74.2,9.5,Ô tô + xe máy,Không,Có,Có,Gần trung tâm thương mại,2025-11-29,Dữ liệu tổng hợp mô phỏng
HN0059,Hà Nội,Ba Đình,Vĩnh Phúc,The Nelson,Chung cư,Đang bán,75.0,2,2,Đông Bắc,5,2015,Sổ hồng lâu dài,Full nội thất,8.3,110.6,10.5,Ô tô + xe máy,Có,Có,Có,Gần trường quốc tế,2026-03-07,Dữ liệu tổng hợp mô phỏng
HN0060,Hà Nội,Ba Đình,Cống Vị,Vinhomes Metropolis,Chung cư,Chuyển nhượng,68.8,2,2,Bắc,7,2025,Sổ hồng lâu dài,Cơ bản,7.59,110.3,25.4,Ô tô + xe máy,Không,Có,Có,Ban công rộng,2026-03-18,Dữ liệu tổng hợp mô phỏng
HN0061,Hà Nội,Bắc Từ Liêm,Đông Ngạc,Masteri Riverside,Chung cư,Đang bán,66.9,2,2,Đông Nam,22,2023,Sổ hồng lâu dài,Full nội thất,3.84,57.4,17.2,Không rõ,Có,Không,Không,Gần trường quốc tế,2026-02-08,Dữ liệu tổng hợp mô phỏng
HN0062,Hà Nội,Cầu Giấy,Nghĩa Đô,Central Field,Chung cư,Chuyển nhượng,53.2,1,1,Tây Bắc,7,2014,Sổ hồng lâu dài,Cơ bản,4.4,82.7,20.3,Ô tô riêng,Không,Không,Có,Ban công rộng,2026-03-02,Dữ liệu tổng hợp mô phỏng
HN0063,Hà Nội,Hoàng Mai,Tân Mai,MHDI Residence,Chung cư,Đang bán,65.6,2,2,Tây Bắc,7,2016,Sổ hồng lâu dài,Full nội thất,3.34,50.9,19.6,Không rõ,Có,Có,Có,Tầng trung đẹp,2025-11-19,Dữ liệu tổng hợp mô phỏng
HN0064,Hà Nội,Hà Đông,Kiến Hưng,Mulberry Lane,Chung cư,Cần bán gấp,94.5,3,3,Đông Bắc,35,2014,Đang chờ sổ,Nội thất cao cấp,4.65,49.2,9.5,Xe máy,Có,Không,Không,Gần tuyến metro,2025-11-27,Dữ liệu tổng hợp mô phỏng
HN0065,Hà Nội,Hà Đông,Phú La,The Pride,Chung cư,Đang bán,65.2,2,2,Đông Bắc,41,2012,Sổ hồng lâu dài,Cơ bản,3.35,51.5,13.1,Xe máy,Không,Không,Không,Ban công rộng,2026-03-20,Dữ liệu tổng hợp mô phỏng
HN0066,Hà Nội,Nam Từ Liêm,Phú Đô,Mỹ Đình Pearl,Chung cư,Đang bán,52.2,1,1,Nam,8,2016,Sổ hồng lâu dài,Cơ bản,3.94,75.6,25.0,Không rõ,Không,Có,Có,Gần tuyến metro,2026-01-07,Dữ liệu tổng hợp mô phỏng
HN0067,Hà Nội,Hà Đông,Dương Nội,HPC Landmark 105,Chung cư,Đang bán,168.6,4,2,Nam,11,2014,HĐMB,Nội thất cao cấp,8.3,49.2,23.9,Ô tô + xe máy,Có,Không,Có,Đầy đủ tiện ích,2026-03-01,Dữ liệu tổng hợp mô phỏng
HN0068,Hà Nội,Hai Bà Trưng,Bạch Mai,D'. City,Chung cư,Cho thuê mua,75.3,2,2,Tây Nam,18,2019,HĐMB,Full nội thất,6.24,82.9,12.3,Không rõ,Không,Không,Có,Tầng trung đẹp,2025-12-18,Dữ liệu tổng hợp mô phỏng
HN0069,Hà Nội,Thanh Xuân,Thượng Đình,GoldSeason,Chung cư,Chuyển nhượng,201.7,4,2,Tây Bắc,19,2012,Sổ hồng lâu dài,Nội thất cao cấp,15.65,77.6,23.3,Ô tô + xe máy,Không,Có,Không,Gần trường quốc tế,2025-12-19,Dữ liệu tổng hợp mô phỏng
HN0070,Hà Nội,Tây Hồ,Quảng An,Sun Grand City,Chung cư,Đang bán,66.9,2,2,Đông,26,2015,Sổ hồng lâu dài,Cơ bản,6.21,92.9,14.0,Ô tô + xe máy,Có,Không,Có,Gần trường quốc tế,2025-10-11,Dữ liệu tổng hợp mô phỏng
HN0071,Hà Nội,Hà Đông,Mộ Lao,HPC Landmark 105,Chung cư,Đang bán,80.0,2,2,Bắc,38,2023,Sổ hồng lâu dài,Full nội thất,4.58,57.2,19.5,Xe máy,Có,Không,Có,Gần tuyến metro,2026-04-05,Dữ liệu tổng hợp mô phỏng
HN0072,Hà Nội,Hai Bà Trưng,Minh Khai,Vinhomes Vista,Chung cư,Chuyển nhượng,73.4,2,2,Tây Nam,18,2021,Sổ hồng lâu dài,Nội thất cao cấp,5.76,78.4,9.2,Ô tô + xe máy,Không,Không,Có,Đầy đủ tiện ích,2025-12-10,Dữ liệu tổng hợp mô phỏng
HN0073,Hà Nội,Hà Đông,Dương Nội,The Pride,Chung cư,Cho thuê mua,96.1,3,2,Nam,25,2015,HĐMB,Cơ bản,4.9,51.0,8.8,Ô tô + xe máy,Không,Có,Không,Gần công viên,2025-10-13,Dữ liệu tổng hợp mô phỏng
HN0074,Hà Nội,Ba Đình,Giảng Võ,Grandeur Palace,Chung cư,Chuyển nhượng,42.0,1,1,Tây Bắc,15,2026,Sổ hồng lâu dài,Nhà thô,5.54,131.8,11.4,Ô tô + xe máy,Không,Không,Có,View sông thoáng,2026-01-05,Dữ liệu tổng hợp mô phỏng
HN0075,Hà Nội,Tây Hồ,Bưởi,D'. El Dorado,Chung cư,Chuyển nhượng,60.6,2,2,Nam,34,2017,Sổ hồng lâu dài,Cơ bản,7.7,127.0,22.8,Ô tô + xe máy,Có,Có,Có,Căn góc,2025-12-16,Dữ liệu tổng hợp mô phỏng
HN0076,Hà Nội,Hai Bà Trưng,Minh Khai,EcoLife Heights,Chung cư,Cần bán gấp,76.8,2,2,Đông,25,2021,Sổ hồng 50 năm,Full nội thất,6.23,81.1,19.5,Ô tô + xe máy,Không,Có,Không,Gần trường quốc tế,2025-11-05,Dữ liệu tổng hợp mô phỏng
HN0077,Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Central Field,Chung cư,Cần bán gấp,96.5,3,3,Tây Nam,39,2012,Sổ hồng lâu dài,Nhà thô,7.92,82.1,18.3,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-04-03,Dữ liệu tổng hợp mô phỏng
HN0078,Hà Nội,Hà Đông,Mộ Lao,Anland Lake View,Chung cư,Cần bán gấp,62.8,2,2,Đông Nam,31,2015,Sổ hồng lâu dài,Full nội thất,2.95,46.9,23.4,Ô tô + xe máy,Không,Có,Có,Ban công rộng,2025-10-21,Dữ liệu tổng hợp mô phỏng
HN0079,Hà Nội,Tây Hồ,Xuân La,D'. El Dorado,Chung cư,Đang bán,121.7,3,2,Tây Nam,26,2020,Sổ hồng lâu dài,Cơ bản,13.64,112.1,18.3,Ô tô + xe máy,Không,Có,Không,View sông thoáng,2026-01-20,Dữ liệu tổng hợp mô phỏng
HN0080,Hà Nội,Long Biên,Thạch Bàn,The Matrix City,Chung cư,Đang bán,57.4,1,1,Nam,7,2019,Đang chờ sổ,Cơ bản,2.93,51.0,18.6,Ô tô riêng,Có,Có,Không,View sông thoáng,2025-11-28,Dữ liệu tổng hợp mô phỏng
HN0081,Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Sky Park Residence,Chung cư,Cần bán gấp,83.2,2,2,Đông Bắc,21,2025,Sổ hồng lâu dài,Cơ bản,5.8,69.6,19.1,Ô tô + xe máy,Không,Có,Có,Gần trường quốc tế,2025-10-23,Dữ liệu tổng hợp mô phỏng
HN0082,Hà Nội,Tây Hồ,Quảng An,Sunshine Riverside,Chung cư,Chuyển nhượng,81.3,3,2,Nam,39,2016,Sổ hồng lâu dài,Cơ bản,8.89,109.4,13.2,Không rõ,Không,Không,Có,Căn góc,2025-12-14,Dữ liệu tổng hợp mô phỏng
HN0083,Hà Nội,Bắc Từ Liêm,Đông Ngạc,D'. Plaza,Chung cư,Đang bán,65.2,2,2,Nam,12,2017,Sổ hồng 50 năm,Cơ bản,4.08,62.6,15.2,Ô tô riêng,Không,Có,Có,View sông thoáng,2026-01-31,Dữ liệu tổng hợp mô phỏng
HN0084,Hà Nội,Ba Đình,Kim Mã,Lancaster Núi Trúc,Chung cư,Đang bán,206.4,4,3,Đông,18,2025,Sổ hồng lâu dài,Nội thất cao cấp,33.46,162.1,16.4,Ô tô riêng,Không,Có,Có,Gần công viên,2026-02-07,Dữ liệu tổng hợp mô phỏng
HN0085,Hà Nội,Ba Đình,Giảng Võ,The Golden Armor,Chung cư,Cần bán gấp,80.3,2,2,Đông Nam,33,2016,HĐMB,Nhà thô,9.34,116.3,14.6,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-01-01,Dữ liệu tổng hợp mô phỏng
HN0086,Hà Nội,Tây Hồ,Quảng An,Imperia Riverside,Chung cư,Đang bán,39.9,1,1,Tây Nam,26,2024,Sổ hồng lâu dài,Full nội thất,5.24,131.3,20.8,Ô tô riêng,Không,Có,Không,Gần trường quốc tế,2026-01-16,Dữ liệu tổng hợp mô phỏng
